id,platform,brand_name,url_slug,city,zone,address,latitude,longitude,price_range,cuisine_tags,scraped_at
5001,swiggy,KFC,swiggy_671928,Bengaluru,Koramangala,"7th Block, Bengaluru",12.9352,77.6245,₹₹,"[""Burgers"", ""Fast Food"", ""Rolls & Wraps""]",2026-06-08T15:06:02.961505
5002,swiggy,Pizza Hut,swiggy_10576,Bengaluru,Koramangala,"6th Block, Bengaluru",12.9352,77.6245,₹₹,"[""Pizzas""]",2026-06-08T15:06:02.961509
5003,swiggy,Nandhana Palace,swiggy_18973,Bengaluru,Koramangala,"Koramangala, Bengaluru",12.9352,77.6245,₹₹,"[""Biryani"", ""Andhra"", ""South Indian"", ""North Indian""]",2026-06-08T15:06:02.961510
5004,swiggy,Homely,swiggy_65075,Bengaluru,Koramangala,"6th Block, Bengaluru",12.9352,77.6245,₹,"[""Home Food"", ""South Indian"", ""Beverages"", ""Desserts"", ""Thalis""]",2026-06-08T15:06:02.961511
5005,swiggy,Seoul Burgers & Shakes,swiggy_739118,Bengaluru,Koramangala,"Industrial Layout ward, Bengaluru",12.9352,77.6245,₹,"[""Burger"", ""Bubble Tea"", ""Fast Food"", ""Beverages"", ""Juice and shake""]",2026-06-08T15:06:02.961511
5006,swiggy,Burger King,swiggy_5934,Bengaluru,Koramangala,"Koramangala, Bengaluru",12.9352,77.6245,₹₹,"[""Burgers"", ""American""]",2026-06-08T15:06:02.961512
5007,swiggy,Krispy Kreme - Doughnuts & Coffee,swiggy_8736,Bengaluru,Koramangala,"100 Ft intermediate Ring Road, Bengaluru",12.9352,77.6245,₹,"[""Desserts"", ""Cafe"", ""Bakery"", ""Coffee"", ""Beverages"", ""Snacks""]",2026-06-08T15:06:02.961513
5008,swiggy,Paris Panini - Gourmet Sandwiches & Wraps,swiggy_717421,Bengaluru,Koramangala,"BTM Layout, Bengaluru",12.9352,77.6245,₹₹,"[""sandwich"", ""wrap"", ""Fast Food"", ""Pastas"", ""Italian"", ""Salads"", ""Healthy Food"", ""Desserts"", ""Continental""]",2026-06-08T15:06:02.961513
5009,swiggy,Bakingo,swiggy_590119,Bengaluru,BTM Layout,"1st  Stage, Bengaluru",12.9352,77.6245,₹,"[""Bakery"", ""Desserts"", ""Beverages"", ""Snacks""]",2026-06-08T15:06:02.961514
5010,swiggy,Goila Butter Chicken,swiggy_588791,Bengaluru,Koramangala,"CLUB ROAD, Bengaluru",12.9352,77.6245,₹₹,"[""North Indian"", ""Biryani"", ""Kebabs"", ""Desserts""]",2026-06-08T15:06:02.961515
5011,swiggy,Popeyes,swiggy_667571,Bengaluru,Koramangala,"Koramangala , Bengaluru",12.9352,77.6245,₹₹,"[""Burgers"", ""Fast Food"", ""Rolls & Wraps""]",2026-06-08T15:06:02.961515
5012,swiggy,California Burrito,swiggy_10820,Bengaluru,Koramangala,"Koramangala, Bengaluru",12.9352,77.6245,₹,"[""Mexican"", ""American"", ""Salads"", ""Continental"", ""Keto"", ""Healthy Food"", ""Beverages"", ""Snacks"", ""Desserts"", ""Fast Food""]",2026-06-08T15:06:02.961516
5013,swiggy,Cheesecake & Co.,swiggy_534235,Bengaluru,Koramangala,"Koramangala, Bengaluru",12.9352,77.6245,₹,"[""Bakery""]",2026-06-08T15:06:02.961517
5014,swiggy,Louis Burger,swiggy_506324,Bengaluru,Koramangala,"6Th Block, Koramangala, Bengaluru",12.9352,77.6245,₹₹,"[""Burgers"", ""American"", ""Fast Food""]",2026-06-08T15:06:02.961517
5015,swiggy,McDonald's,swiggy_23678,Bengaluru,Koramangala,"5th Block, Bengaluru",12.9352,77.6245,₹₹,"[""Burgers"", ""Beverages"", ""Cafe"", ""Desserts""]",2026-06-08T15:06:02.961518
5016,swiggy,Subway,swiggy_656392,Bengaluru,Koramangala,"1st Block, Bengaluru",12.9352,77.6245,₹₹,"[""sandwich"", ""Salads"", ""wrap"", ""Healthy Food""]",2026-06-08T15:06:02.961518
5017,swiggy,Natural Ice Cream,swiggy_27811,Bengaluru,Koramangala,"Koramangala, Bengaluru",12.9352,77.6245,₹,"[""Ice Cream"", ""Desserts""]",2026-06-08T15:06:02.961519
5018,swiggy,Theobroma,swiggy_426776,Bengaluru,Koramangala,"Koramangala, Bengaluru",12.9352,77.6245,₹₹,"[""Desserts"", ""Bakery"", ""Beverages""]",2026-06-08T15:06:02.961520
