platform,brand_name,url_slug,city,zone,address,latitude,longitude,price_range,cuisine_tags,scraped_at
swiggy,Barbeque Nation,swiggy_293095,Bengaluru,Koramangala,"Koramangala, Bengaluru",12.9352,77.6245,₹₹,"[""North Indian"", ""Barbecue"", ""Kebabs"", ""Biryani"", ""Street Food"", ""Snacks""]",2026-06-08T16:10:29.623678
swiggy,KFC,swiggy_671928,Bengaluru,Koramangala,"7th Block, Bengaluru",12.9352,77.6245,₹₹,"[""Burgers"", ""Fast Food"", ""Rolls & Wraps""]",2026-06-08T16:10:29.626832
swiggy,Pizza Hut,swiggy_10576,Bengaluru,Koramangala,"6th Block, Bengaluru",12.9352,77.6245,₹₹,"[""Pizzas""]",2026-06-08T16:10:29.629211
swiggy,Nandhana Palace,swiggy_18973,Bengaluru,Koramangala,"Koramangala, Bengaluru",12.9352,77.6245,₹₹,"[""Biryani"", ""Andhra"", ""South Indian"", ""North Indian""]",2026-06-08T16:10:29.631178
swiggy,Seoul Burgers & Shakes,swiggy_739118,Bengaluru,Koramangala,"Industrial Layout ward, Bengaluru",12.9352,77.6245,₹,"[""Burger"", ""Bubble Tea"", ""Fast Food"", ""Beverages"", ""Juice and shake""]",2026-06-08T16:10:29.633156
swiggy,Homely,swiggy_65075,Bengaluru,Koramangala,"6th Block, Bengaluru",12.9352,77.6245,₹,"[""Home Food"", ""South Indian"", ""Beverages"", ""Desserts"", ""Thalis""]",2026-06-08T16:10:29.635434
swiggy,Burger King,swiggy_5934,Bengaluru,Koramangala,"Koramangala, Bengaluru",12.9352,77.6245,₹₹,"[""Burgers"", ""American""]",2026-06-08T16:10:29.637883
swiggy,Krispy Kreme - Doughnuts & Coffee,swiggy_12480,Bengaluru,Koramangala,"7th Block, Bengaluru",12.9352,77.6245,₹,"[""Desserts"", ""Cafe"", ""Bakery"", ""Coffee"", ""Beverages"", ""Snacks""]",2026-06-08T16:10:29.640761
swiggy,The Pizza Bakery - Wood Fired Sourdough,swiggy_718430,Bengaluru,Koramangala,"BTM Layout, Bengaluru",12.9352,77.6245,₹₹₹,"[""Pizzas"", ""Pastas"", ""Italian"", ""Desserts"", ""Continental"", ""Beverages""]",2026-06-08T16:10:29.643140
swiggy,Paris Panini - Gourmet Sandwiches & Wraps,swiggy_717421,Bengaluru,Koramangala,"BTM Layout, Bengaluru",12.9352,77.6245,₹₹,"[""sandwich"", ""wrap"", ""Fast Food"", ""Pastas"", ""Italian"", ""Salads"", ""Healthy Food"", ""Desserts"", ""Continental""]",2026-06-08T16:10:29.645257
swiggy,Bakingo,swiggy_590119,Bengaluru,BTM Layout,"1st  Stage, Bengaluru",12.9352,77.6245,₹,"[""Bakery"", ""Desserts"", ""Beverages"", ""Snacks""]",2026-06-08T16:10:29.647169
swiggy,Goila Butter Chicken,swiggy_588791,Bengaluru,Koramangala,"CLUB ROAD, Bengaluru",12.9352,77.6245,₹₹,"[""North Indian"", ""Biryani"", ""Kebabs"", ""Desserts""]",2026-06-08T16:10:29.649589
swiggy,Dum Safar Biryani,swiggy_586682,Bengaluru,Koramangala,"1st Block, Bengaluru",12.9352,77.6245,₹₹,"[""Biryani"", ""Hyderabadi"", ""Kebabs"", ""North Indian"", ""barbeque""]",2026-06-08T16:10:29.652099
swiggy,Popeyes,swiggy_667571,Bengaluru,Koramangala,"Koramangala , Bengaluru",12.9352,77.6245,₹₹,"[""Burgers"", ""Fast Food"", ""Rolls & Wraps""]",2026-06-08T16:10:29.654504
swiggy,California Burrito,swiggy_10820,Bengaluru,Koramangala,"Koramangala, Bengaluru",12.9352,77.6245,₹,"[""Mexican"", ""American"", ""Salads"", ""Continental"", ""Keto"", ""Healthy Food"", ""Beverages"", ""Snacks"", ""Desserts"", ""Fast Food""]",2026-06-08T16:10:29.656841
