platform,brand_name,url_slug,city,zone,address,latitude,longitude,price_range,cuisine_tags,scraped_at
swiggy,Pizza Hut,swiggy_9862,Mumbai,Bandra Kurla Complex,"Bandra, Mumbai",19.076,72.8777,₹₹,"[""Pizzas""]",2026-06-08T15:59:12.842509
swiggy,KFC,swiggy_484594,Mumbai,Kurla West,"Kurla West, Mumbai",19.076,72.8777,₹₹,"[""Burgers"", ""Fast Food"", ""Rolls & Wraps""]",2026-06-08T15:59:12.843228
swiggy,Barbeque Nation,swiggy_448490,Mumbai,Bandra Kurla Complex,"Bandra East, Mumbai",19.076,72.8777,₹₹,"[""North Indian"", ""Barbecue"", ""Kebabs"", ""Biryani"", ""Street Food"", ""Snacks""]",2026-06-08T15:59:12.843866
swiggy,Domino's Pizza,swiggy_24463,Mumbai,Bandra Kurla Complex,"Vidyanagari Marg, Mumbai",19.076,72.8777,₹₹,"[""Pizzas"", ""Italian"", ""Pastas"", ""Desserts""]",2026-06-08T15:59:12.844527
swiggy,Burger King,swiggy_78036,Mumbai,Santacruz East,"Central Plaza, Kalina, Mumbai",19.076,72.8777,₹₹,"[""Burgers"", ""American""]",2026-06-08T15:59:12.845116
swiggy,Theobroma,swiggy_5172,Mumbai,Bandra Kurla Complex,"Bandra East, Mumbai",19.076,72.8777,₹₹,"[""Bakery"", ""Desserts""]",2026-06-08T15:59:12.845745
swiggy,Natural Ice Cream,swiggy_30889,Mumbai,Saki Naka,"Pheonix Market City, Mumbai",19.076,72.8777,₹,"[""Ice Cream"", ""Desserts""]",2026-06-08T15:59:12.846374
swiggy,Subway,swiggy_31775,Mumbai,Bandra East,"The Capital Bandra Kurla Complex, Mumbai",19.076,72.8777,₹₹,"[""sandwich"", ""Salads"", ""wrap"", ""Healthy Food""]",2026-06-08T15:59:12.846959
swiggy,Harvest Salad Co,swiggy_699105,Mumbai,Scruz Bandra East,"Kalina CST Road, Mumbai",19.076,72.8777,₹₹,"[""Salads"", ""Healthy Food"", ""Snacks""]",2026-06-08T15:59:12.847579
swiggy,Charcoal Eats - Biryani & Beyond,swiggy_328878,Mumbai,"SANTACRUZ EAST, Kalina","Manipada Road, Mumbai",19.076,72.8777,₹₹,"[""Biryani"", ""Kebabs"", ""North Indian"", ""Mughlai""]",2026-06-08T15:59:12.848315
swiggy,Louis Burger,swiggy_391816,Mumbai,Kalina,"Swastik Industrial Estate, Mumbai",19.076,72.8777,₹₹,"[""Burgers"", ""American"", ""Fast Food""]",2026-06-08T15:59:12.848715
swiggy,Maiz Mexican Kitchen,swiggy_698272,Mumbai,BKC,"Kalina Cst Road, Mumbai",19.076,72.8777,₹₹,"[""Mexican"", ""Italian"", ""American""]",2026-06-08T15:59:12.849028
swiggy,The Belgian Waffle Co.,swiggy_82668,Mumbai,Santacruz East,"Kalina, Mumbai",19.076,72.8777,₹,"[""Waffle"", ""Desserts"", ""Ice Cream"", ""Beverages""]",2026-06-08T15:59:12.849322
swiggy,McDonald's,swiggy_32399,Mumbai,Santacruz East,"Kalina Artista, Mumbai",19.076,72.8777,₹₹,"[""Burgers"", ""Beverages"", ""Cafe"", ""Desserts""]",2026-06-08T15:59:12.849601
swiggy,Dum Safar Biryani,swiggy_639509,Mumbai,Scruz Bandra East,"Bandra Kurla Complex, Mumbai",19.076,72.8777,₹₹,"[""Biryani"", ""Hyderabadi"", ""Kebabs"", ""North Indian"", ""barbeque""]",2026-06-08T15:59:12.849898
swiggy,Go Zero Ice Creams & Desserts,swiggy_576015,Mumbai,BKC,"Goodwill Premises, Mumbai",19.076,72.8777,₹,"[""Ice Cream"", ""Desserts""]",2026-06-08T15:59:12.850471
swiggy,Grameen Kulfi,swiggy_351123,Mumbai,Bandra East,"Rahivashi Sevangh, Mumbai",19.076,72.8777,₹,"[""Ice Cream"", ""Desserts""]",2026-06-08T15:59:12.850777
swiggy,Bombay Sweet Shop,swiggy_673363,Mumbai,Scruz Bandra East,"Vidyanagari Marg, Mumbai",19.076,72.8777,₹₹₹,"[""Sweets"", ""Desserts"", ""Snacks""]",2026-06-08T15:59:12.851089
swiggy,"Bhatti Chicken - Grilled, NOT Fried!",swiggy_678583,Mumbai,Kurla West,"Gaurav Industrial Estate, Mumbai",19.076,72.8777,₹,"[""North Indian"", ""Snacks"", ""Fast Food"", ""Tandoor""]",2026-06-08T15:59:12.851386
swiggy,Veg Meals By LunchBox,swiggy_263590,Mumbai,Santacruz East,"Kalina, Mumbai",19.076,72.8777,₹,"[""Thalis"", ""North Indian"", ""Biryani"", ""South Indian"", ""Desserts"", ""Beverages""]",2026-06-08T15:59:12.851709
swiggy,KFC,swiggy_1355804,Mumbai,Kalina,"Central Plaza 166, Mumbai",19.076,72.8777,₹₹,"[""Burgers"", ""Fast Food"", ""Rolls & Wraps""]",2026-06-08T15:59:12.852190
swiggy,Chicking,swiggy_445985,Mumbai,Kurla,"Lbs Road, Mumbai",19.076,72.8777,₹₹,"[""Snacks"", ""Grill"", ""Fast Food"", ""American"", ""Pizzas"", ""Mexican"", ""Beverages""]",2026-06-08T15:59:12.852858
swiggy,Protein Chef,swiggy_781789,Mumbai,Chembur,"Shivaji Nagar, Mumbai",19.076,72.8777,₹₹,"[""Indian"", ""Fast Food"", ""Snacks""]",2026-06-08T15:59:12.853406
swiggy,Gaurav Sweets And Namkeen,swiggy_764107,Mumbai,Ghatkopar,"Jayant Villa, Mumbai",19.076,72.8777,₹,"[""Gujarati"", ""Snacks"", ""Sweets""]",2026-06-08T15:59:12.853742
swiggy,KFC,swiggy_185159,Mumbai,Kanakia Wall Street,"Andheri Kurla Road, Mumbai",19.1136,72.8697,₹₹,"[""Burgers"", ""Fast Food"", ""Rolls & Wraps""]",2026-06-08T15:59:19.375852
swiggy,Pizza Hut,swiggy_9868,Mumbai,Andheri East,"Chakala, Mumbai",19.1136,72.8697,₹₹,"[""Pizzas""]",2026-06-08T15:59:19.376591
swiggy,Barbeque Nation,swiggy_645233,Mumbai,TIMES SQUARE,"Marol, Mumbai",19.1136,72.8697,₹₹,"[""North Indian"", ""Barbecue"", ""Kebabs"", ""Biryani"", ""Street Food"", ""Snacks""]",2026-06-08T15:59:19.377227
